iteracao0: -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0, 
iteracao0: 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 
iteracao0: 1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 
iteracao0: -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 
iteracao0: -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 
iteracao0: -1.0, -1.0, 1.0, 1.0, 1.0, -1.0, -1.0, 
iteracao0: -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 
iteracao0: -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 
iteracao0: -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 
iteracao0: -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 
iteracao0: -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 
iteracao0: -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 
iteracao0: -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 
iteracao0: 1.0, 1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 
iteracao0: -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 
iteracao0: -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 
iteracao0: -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 
iteracao0: -1.0, 1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 
iteracao0: -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 
iteracao0: -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 
iteracao0: -1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 
iteracao1: 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 
iteracao1: -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 
iteracao1: -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 
iteracao1: -1.0, 1.0, -1.0, 1.0, -1.0, -1.0, 1.0, 
iteracao1: -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 
iteracao1: -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 
iteracao1: -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 
iteracao1: 1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 
iteracao1: -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, 
iteracao1: -1.0, 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 
iteracao1: -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, 
iteracao1: -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 
iteracao1: -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 
iteracao1: 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 
iteracao1: 1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 1.0, 
iteracao1: -1.0, -1.0, -1.0, -1.0, 1.0, -1.0, -1.0, 
